iteration,position,compliance,gradient
1,0.3000,5.700646e-02,-3.535590e-01
2,0.3035,5.582619e-02,-3.153142e-01
3,0.3067,5.487384e-02,-2.907413e-01
4,0.3096,5.404710e-02,-2.800587e-01
5,0.3124,5.326313e-02,-2.817238e-01
6,0.3152,5.245435e-02,-2.939900e-01
7,0.3182,5.156118e-02,-3.145511e-01
8,0.3213,5.053272e-02,-3.392466e-01
9,0.3247,4.934263e-02,-3.608019e-01
10,0.3283,4.801939e-02,-3.697989e-01
11,0.3320,4.666412e-02,-3.599378e-01
12,0.3356,4.541153e-02,-3.338217e-01
13,0.3389,4.435050e-02,-3.011375e-01
14,0.3419,4.348960e-02,-2.710421e-01
15,0.3447,4.278732e-02,-2.481510e-01
16,0.3471,4.219112e-02,-2.335397e-01
17,0.3495,4.165500e-02,-2.267842e-01
18,0.3517,4.114157e-02,-2.271264e-01
19,0.3540,4.061922e-02,-2.338205e-01
20,0.3564,4.005911e-02,-2.460134e-01
