iteration,support_pos,compliance,gradient
1,0.300000,4.753171e-03,-2.633027e-02
2,0.300132,4.749699e-03,-2.642279e-02
3,0.300264,4.746201e-03,-2.651750e-02
4,0.300396,4.742679e-03,-2.661430e-02
5,0.300529,4.739131e-03,-2.671309e-02
6,0.300663,4.735556e-03,-2.681378e-02
7,0.300797,4.731955e-03,-2.691626e-02
8,0.300932,4.728325e-03,-2.702040e-02
9,0.301067,4.724668e-03,-2.712611e-02
10,0.301202,4.720981e-03,-2.723326e-02
11,0.301339,4.717266e-03,-2.734172e-02
12,0.301475,4.713520e-03,-2.745137e-02
13,0.301613,4.709745e-03,-2.756206e-02
14,0.301750,4.705939e-03,-2.767366e-02
15,0.301889,4.702102e-03,-2.778603e-02
16,0.302028,4.698234e-03,-2.789901e-02
17,0.302167,4.694334e-03,-2.801244e-02
18,0.302307,4.690402e-03,-2.812617e-02
19,0.302448,4.686439e-03,-2.824004e-02
20,0.302589,4.682443e-03,-2.835387e-02
