support_pos,compliance,iteration
0.6035,4.412518e-03,6
0.4603,1.787474e-02,6
0.4819,1.514260e-02,6
0.6625,2.442604e-03,6
0.6387,3.041322e-03,6
0.2327,8.606360e-02,6
0.5908,5.018910e-03,6
0.6347,3.154261e-03,6
0.4656,1.714730e-02,6
0.3395,4.418442e-02,6
0.6289,3.321705e-03,6
0.6115,4.003649e-03,6
0.3741,3.494646e-02,6
0.3143,5.272177e-02,6
0.5127,1.132277e-02,6
0.1720,1.210494e-01,6
0.3181,5.156996e-02,6
0.2532,7.594232e-02,6
0.4389,2.180163e-02,6
0.4878,1.426981e-02,6
0.1645,1.269264e-01,6
0.5123,1.135963e-02,6
0.2572,7.400391e-02,6
0.5804,5.559198e-03,6
0.4182,2.515157e-02,6
0.3527,4.091307e-02,6
0.4473,2.022606e-02,6
0.7869,2.955991e-03,6
0.3557,4.021682e-02,6
0.5509,7.699018e-03,6
0.3575,3.976526e-02,6
0.2263,8.881589e-02,6
0.6776,2.224312e-03,6
0.3979,2.988136e-02,6
0.1241,1.586437e-01,6
0.1635,1.276836e-01,6
0.6310,3.259444e-03,6
0.4936,1.338725e-02,6
0.6706,2.313280e-03,6
0.2324,8.621190e-02,6
0.5218,1.044274e-02,6
0.4702,1.661166e-02,6
0.7831,2.859047e-03,6
0.2390,8.325639e-02,6
0.3369,4.497037e-02,6
0.8997,7.203562e-03,6
0.3849,3.235046e-02,6
0.6852,2.144103e-03,6
0.7058,2.030088e-03,6
0.5953,4.808412e-03,6
