support_pos,compliance,iteration
0.6035,3.400537e-04,6
0.4603,1.229639e-03,6
0.4819,1.229639e-03,6
0.6625,2.049431e-04,6
0.6387,2.500848e-04,6
0.2327,5.674291e-03,6
0.5908,3.400537e-04,6
0.6347,2.500848e-04,6
0.4656,1.229639e-03,6
0.3395,3.199162e-03,6
0.6289,2.500848e-04,6
0.6115,3.400537e-04,6
0.3741,2.584857e-03,6
0.3143,3.909056e-03,6
0.5127,9.190840e-04,6
0.1720,8.110370e-03,6
0.3181,3.199162e-03,6
0.2532,4.727574e-03,6
0.4389,1.606986e-03,6
0.4878,9.190840e-04,6
0.1645,8.110370e-03,6
0.5123,9.190840e-04,6
0.2572,4.727574e-03,6
0.5804,4.787665e-04,6
0.4182,1.606986e-03,6
0.3527,2.584857e-03,6
0.4473,1.606986e-03,6
0.7869,3.999812e-04,6
0.3557,2.584857e-03,6
0.5509,4.787665e-04,6
0.3575,2.584857e-03,6
0.2263,5.674291e-03,6
0.6776,2.049431e-04,6
0.3979,2.056631e-03,6
0.1241,9.786811e-03,6
0.1635,8.110370e-03,6
0.6310,2.500848e-04,6
0.4936,9.190840e-04,6
0.6706,2.049431e-04,6
0.2324,5.674291e-03,6
0.5218,6.703317e-04,6
0.4702,1.229639e-03,6
0.7831,3.017767e-04,6
0.2390,5.674291e-03,6
0.3369,3.199162e-03,6
0.8997,8.479352e-04,6
0.3849,2.056631e-03,6
0.6852,2.008814e-04,6
0.7058,2.008814e-04,6
0.5953,3.400537e-04,6
