method,iter,compliance,s1_x,s1_y,s2_x,s2_y,wall_time_ms,timestamp
diff_fea,0,976.485040,20.0000,20.0000,15.0000,80.0000,3018.195,2025-11-25T20:37:17
diff_fea,1,965.933552,21.0000,21.0000,14.0000,79.0000,22.324,2025-11-25T20:43:48
diff_fea,2,958.072242,21.9085,21.9936,13.2166,78.0065,8.493,2025-11-25T20:43:49
diff_fea,3,952.118159,22.5453,22.9740,12.9504,77.0262,11.190,2025-11-25T20:43:49
diff_fea,4,947.375033,22.7768,23.9330,13.0741,76.0685,8.681,2025-11-25T20:43:49
diff_fea,5,943.761118,22.6774,24.8606,13.3887,75.1460,9.829,2025-11-25T20:43:49
diff_fea,6,941.378760,22.3681,25.7456,13.7578,74.2752,5.792,2025-11-25T20:43:49
diff_fea,7,940.190473,21.9375,26.5756,14.0669,73.4762,10.659,2025-11-25T20:43:49
diff_fea,8,939.973290,21.4512,27.3380,14.2314,72.7705,10.041,2025-11-25T20:43:49
diff_fea,9,940.425260,20.9667,28.0207,14.2308,72.1781,5.613,2025-11-25T20:43:50
diff_fea,10,941.251395,20.5390,28.6135,14.0974,71.7138,10.136,2025-11-25T20:43:50
diff_fea,11,942.182852,20.2146,29.1093,13.8842,71.3849,9.255,2025-11-25T20:43:50
diff_fea,12,942.994868,20.0206,29.5043,13.6501,71.1903,7.860,2025-11-25T20:43:50
diff_fea,13,943.530647,19.9593,29.7982,13.4524,71.1220,5.644,2025-11-25T20:43:50
diff_fea,14,943.714415,20.0142,29.9939,13.3349,71.1675,11.502,2025-11-25T20:43:50
diff_fea,15,943.553413,20.1576,30.0970,13.3162,71.3120,10.851,2025-11-25T20:43:50
diff_fea,16,943.122694,20.3573,30.1152,13.3877,71.5394,10.169,2025-11-25T20:43:50
diff_fea,17,942.530362,20.5792,30.0576,13.5224,71.8340,8.969,2025-11-25T20:43:50
diff_fea,18,941.879162,20.7897,29.9345,13.6827,72.1800,9.441,2025-11-25T20:43:50
diff_fea,19,941.242566,20.9597,29.7569,13.8287,72.5621,34.196,2025-11-25T20:43:51
diff_fea,20,940.663926,21.0683,29.5365,13.9264,72.9657,7.912,2025-11-25T20:43:51
diff_fea,21,940.172905,21.1063,29.2853,13.9567,73.3763,6.264,2025-11-25T20:43:51
diff_fea,22,939.800146,21.0769,29.0156,13.9194,73.7802,6.391,2025-11-25T20:43:51
diff_fea,23,939.575228,20.9930,28.7398,13.8309,74.1642,10.584,2025-11-25T20:43:51
diff_fea,24,939.511308,20.8747,28.4696,13.7186,74.5164,6.313,2025-11-25T20:43:51
diff_fea,25,939.591030,20.7456,28.2163,13.6137,74.8261,10.877,2025-11-25T20:43:51
