iter,compliance,x1,y1,x2,y2,method,wall_time_ms,edge_margin,min_spacing,load_case
0,1.1534960577669913,2.0,2.0,10.0,4.0,mmc,86.68547291909495,2.0,3.5,vertical_tip
1,1.0830984897352773,2.25,2.45,10.05,4.4,mmc,86.68547291909495,2.0,3.5,vertical_tip
2,1.289661128077972,2.49375,2.8887500000000004,10.09875,4.79,mmc,86.68547291909495,2.0,3.5,vertical_tip
3,1.186084648310963,2.73140625,3.3165312500000006,10.146281250000001,5.17025,mmc,86.68547291909495,2.0,3.5,vertical_tip
4,1.468039657390328,2.96312109375,3.733617968750001,10.192624218750002,5.54099375,mmc,86.68547291909495,2.0,3.5,vertical_tip
5,1.733437190336477,3.1890430664062497,4.140277519531251,10.237808613281251,5.90246890625,mmc,86.68547291909495,2.0,3.5,vertical_tip
6,1.778376783860836,3.4093169897460935,4.53677058154297,10.28186339794922,6.25490718359375,mmc,86.68547291909495,2.0,3.5,vertical_tip
7,1.8101604674718406,3.624084065002441,4.923351317004395,10.324816813000488,6.598534504003906,mmc,86.68547291909495,2.0,3.5,vertical_tip
8,1.8208003507581987,3.83348196337738,5.3002675340792855,10.366696392675475,6.933571141403808,mmc,86.68547291909495,2.0,3.5,vertical_tip
9,1.8406706336381333,4.037644914292946,5.667760845727304,10.407528982858588,7.2602318628687135,mmc,86.68547291909495,2.0,3.5,vertical_tip
10,1.9107886576922917,4.236703791435622,6.026066824584121,10.447340758287124,7.578726066296996,mmc,86.68547291909495,2.0,3.5,vertical_tip
11,1.9916852600855444,4.4307861966497315,6.375415153969518,10.486157239329946,7.889257914639571,mmc,86.68547291909495,2.0,3.5,vertical_tip
12,2.0165910262696918,4.620016541733488,6.716029775120281,10.524003308346698,8.192026466773582,mmc,86.68547291909495,2.0,3.5,vertical_tip
13,2.0918095930195535,4.8045161281901505,7.048129030742274,10.56090322563803,8.487225805104242,mmc,86.68547291909495,2.0,3.5,vertical_tip
14,2.1789909749600467,4.984403224985397,7.371925804973717,10.59688064499708,8.775045159976635,mmc,86.68547291909495,2.0,3.5,vertical_tip
15,2.205656402313842,5.159793144360762,7.687627659849374,10.631958628872153,9.055669030977219,mmc,86.68547291909495,2.0,3.5,vertical_tip
16,2.243793806431565,5.330798315751743,7.99543696835314,10.66615966315035,9.329277305202789,mmc,86.68547291909495,2.0,3.5,vertical_tip
17,2.341027232005216,5.4975283578579495,8.295551044144311,10.69950567157159,9.59604537257272,mmc,86.68547291909495,2.0,3.5,vertical_tip
18,2.4184293052295565,5.6600901489115,8.588162268040703,10.7320180297823,9.856144238258402,mmc,86.68547291909495,2.0,3.5,vertical_tip
19,2.465761990619599,5.8185878951887124,8.873458211339685,10.763717579037742,10.109740632301943,mmc,86.68547291909495,2.0,3.5,vertical_tip
20,2.6092221519706675,5.973123197808994,9.151621756056192,10.794624639561798,10.356997116494394,mmc,86.68547291909495,2.0,3.5,vertical_tip
21,2.877981912224781,6.12379511786377,9.422831212154788,10.824759023572753,10.598072188582034,mmc,86.68547291909495,2.0,3.5,vertical_tip
22,3.326771522407643,6.270700239917176,9.687260431850918,10.854140047983433,10.833120383867483,mmc,86.68547291909495,2.0,3.5,vertical_tip
23,4.394520386157027,6.413932733919246,9.945078921054645,10.882786546783848,11.062292374270795,mmc,86.68547291909495,2.0,3.5,vertical_tip
24,8.230018807136762,6.553584415571265,10.196451948028278,10.910716883114251,11.285735064914025,mmc,86.68547291909495,2.0,3.5,vertical_tip
25,-33.759408116748816,6.6897448051819834,10.441540649327571,10.937948961036394,11.503591688291175,mmc,86.68547291909495,2.0,3.5,vertical_tip
26,-2.6330668739229157,6.822501185052434,10.680502133094382,10.964500237010483,11.716001896083895,mmc,86.68547291909495,2.0,3.5,vertical_tip
27,-0.3302940747768687,6.951938655426123,10.913489579767022,10.990387731085221,11.923101848681798,mmc,86.68547291909495,2.0,3.5,vertical_tip
28,0.42621884224506634,7.07814018904047,11.140652340272847,11.01562803780809,12.125024302464753,mmc,86.68547291909495,2.0,3.5,vertical_tip
29,0.6873215876637747,7.201186684314458,11.362136031766026,11.040237336862889,12.321898694903135,mmc,86.68547291909495,2.0,3.5,vertical_tip
30,0.7603708380689067,7.3211570172065965,11.578082630971876,11.064231403441317,12.513851227530557,mmc,86.68547291909495,2.0,3.5,vertical_tip
