iter,compliance,x1,y1,x2,y2,method,wall_time_ms,geometry,load_case
0,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
1,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
2,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
3,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
4,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
5,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
6,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
7,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
8,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
9,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
10,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
11,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
12,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
13,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
14,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
15,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
16,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
17,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
18,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
19,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
20,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
21,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
22,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
23,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
24,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
25,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
26,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
27,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
28,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
29,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
30,11667.139572187905,8.0,12.0,32.0,12.0,mmc,127.85377040986093,tapered_plate,combined_tip
