geometry,load_case,sample_id,s1_x,s1_y,s2_x,s2_y,compliance,timestamp
tapered_plate,combined_tip,1,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T00:26:01.0
tapered_plate,combined_tip,2,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T00:26:01.0
tapered_plate,combined_tip,3,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:01.0
tapered_plate,combined_tip,4,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T00:26:01.0
tapered_plate,combined_tip,5,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T00:26:01.0
tapered_plate,combined_tip,6,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T00:26:01.0
tapered_plate,combined_tip,7,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T00:26:01.0
tapered_plate,combined_tip,8,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T00:26:02.0
tapered_plate,combined_tip,9,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T00:26:02.0
tapered_plate,combined_tip,10,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:02.0
tapered_plate,combined_tip,11,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T00:26:02.0
tapered_plate,combined_tip,12,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T00:26:02.0
tapered_plate,combined_tip,13,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T00:26:02.0
tapered_plate,combined_tip,14,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T00:26:02.0
tapered_plate,combined_tip,15,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T00:26:02.0
tapered_plate,combined_tip,16,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:02.0
tapered_plate,combined_tip,17,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T00:26:02.0
tapered_plate,combined_tip,18,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T00:26:02.0
tapered_plate,combined_tip,19,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T00:26:02.0
tapered_plate,combined_tip,20,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T00:26:02.0
tapered_plate,combined_tip,21,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:02.0
tapered_plate,combined_tip,22,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T00:26:02.0
tapered_plate,combined_tip,23,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T00:26:02.0
tapered_plate,combined_tip,24,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:02.0
tapered_plate,combined_tip,25,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T00:26:02.0
tapered_plate,combined_tip,26,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T00:26:02.0
tapered_plate,combined_tip,27,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T00:26:02.0
tapered_plate,combined_tip,28,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T00:26:02.0
tapered_plate,combined_tip,29,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T00:26:02.0
tapered_plate,combined_tip,30,20.0,27.0,80.0,42.0,23.429175332891653,2025-11-26T00:26:02.0
tapered_plate,combined_tip,31,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T00:26:02.0
tapered_plate,combined_tip,32,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T00:26:02.0
tapered_plate,combined_tip,33,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T00:26:02.0
tapered_plate,combined_tip,34,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:02.0
tapered_plate,combined_tip,35,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T00:26:02.0
tapered_plate,combined_tip,36,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T00:26:02.0
tapered_plate,combined_tip,37,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T00:26:02.0
tapered_plate,combined_tip,38,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T00:26:02.0
tapered_plate,combined_tip,39,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T00:26:02.0
tapered_plate,combined_tip,40,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T00:26:02.0
tapered_plate,combined_tip,41,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:38
tapered_plate,combined_tip,42,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:39
tapered_plate,combined_tip,43,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:39
tapered_plate,combined_tip,44,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:39
tapered_plate,combined_tip,45,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:39
tapered_plate,combined_tip,46,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:39
tapered_plate,combined_tip,47,20.0,42.0,80.0,12.0,22.801344477080022,2025-11-26T02:40:39
tapered_plate,combined_tip,48,20.0,42.0,80.0,42.0,22.84680013992237,2025-11-26T02:40:39
tapered_plate,combined_tip,49,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:39
tapered_plate,combined_tip,50,20.0,42.0,80.0,27.0,23.005540574329878,2025-11-26T02:40:39
tapered_plate,combined_tip,51,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:39
tapered_plate,combined_tip,52,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:39
tapered_plate,combined_tip,53,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:39
tapered_plate,combined_tip,54,20.0,12.0,80.0,42.0,22.514880985522648,2025-11-26T02:40:39
tapered_plate,combined_tip,55,20.0,12.0,80.0,12.0,22.419018963011936,2025-11-26T02:40:39
tapered_plate,combined_tip,56,20.0,12.0,80.0,27.0,22.646900855192374,2025-11-26T02:40:39
tapered_plate,combined_tip,57,20.0,27.0,80.0,12.0,23.364201045717834,2025-11-26T02:40:39
tapered_plate,combined_tip,58,20.0,27.0,80.0,27.0,23.574407313727363,2025-11-26T02:40:39
